scan_time,asin,marketplace,authorized_seller,seller_found,seller_id,price,price_num,fulfillment,seller_rating_value,seller_rating_max,seller_rating_count,seller_positive_percent,seller_rating_period,status
2026-03-13 19:48:25,B0FRXZVL5R,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0CS3KQWMM,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0CS3K7YCZ,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B09VL2Y6TH,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8J275QC,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8J4RHL5,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8J41165,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8HF1BLP,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0FRVWYWD1,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8HY4X2J,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8HSCMZB,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0FFBCSQBK,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0FFBC22J7,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8HBSXCF,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8HPR6V1,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8H75R4M,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8J62NFY,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F4FNN443,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F4D9Z5MX,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8J3TFBL,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
2026-03-13 19:48:25,B0F8HP147Z,IN,RK World Infocom Pvt Ltd,,,,,,,,,,,PARSE_FAILED
