unitsSoldClicks,cost,purchases,campaignId,campaignStatus,clicks,impressions,campaignName,campaignBudgetAmount,sales
1,1565.63,1,138932377838775,PAUSED,157,16112,SB-Video-EVA-Gym Mats (Ehk),120.0,3490.57
0,618.03,0,56345075190328,ENABLED,61,6731,SB-Video-EVA Kids Mat,120.0,0
0,219.52,0,20508703715177,PAUSED,20,3699,SB-Video-EVA-Gym Mats,120.0,0
0,0,0,42352531890054,PAUSED,0,0,SB-Video-EVA Kids Mat-PO9,120.0,0
0,0,0,152934263674097,PAUSED,0,0,SB-Video-BPM,200.0,0
37,7531.28,32,310972045654203,ENABLED,743,104636,VR_SBV_Anti Slip Mat d287c2,300.0,21715.51
