unitsSoldClicks,cost,purchases,campaignId,campaignStatus,clicks,impressions,campaignName,sales
7,968.85,9,389639008589861,ENABLED,97,34608,SD-EVA Kids Mat-Defensive,16042.41
0,115.48,0,388683862001772,ENABLED,2,3336,"SD-VCPM-EVA Gym Mat- (B0784MK315, B07F3JN779 Kobo)",0
0,176.51,0,459114062083124,ENABLED,16,7944,SD-VCPM-EVA Gym Mat- (B0D95SFFL9 Xtrim),0
0,497.25,2,290187432097965,ENABLED,16,17788,SD-VCPM-EVA Gym Mat- (B09SJ6VDN4 Nasmodo),5482.85
2,249.35,4,397624518684234,ENABLED,12,6750,SD-VCPM-EVA Gym Mat- (B0D95TB7KV Xtrim),7355.23
1,203.58,2,449905481136315,ENABLED,7,8154,SD-VCPM-EVA Gym Mat- (B09P3NQ1V5 Signatron),2732.38
0,21.67,0,305564740370745,ENABLED,0,1257,"SD-VCPM-EVA Gym Mat- (B09P3NQ1V5, B09F68LRLC, B0B5N7S9QJ Signatron)",0
0,178.72,1,349980243723708,ENABLED,7,5943,SD-VCPM-ASM- (B078X7KLTH Urbanfix),318.01
0,0,0,413703656044062,ENABLED,0,2,SD-CPC-ASM- (B08N4R1HQ6 KayJen),0
2,444.56,3,450971091916435,ENABLED,13,10711,SD-VCPM-ASM-(B0DDXRHF54 Niwlix),2241.95
0,69.29,0,431945262212312,ENABLED,2,2146,SD-VCPM-ASM- (B08N4R1HQ6 KayJen),0
0,0,0,352399194287445,ENABLED,0,0,SD-CPC-ASM- (B0D8L853WP Niwlix),0
0,0,0,478359384774103,ENABLED,0,2,SD-CPC-ASM- (B078X7KLTH Urbanfix),0
0,0,0,392989596184040,ENABLED,0,423,SD-CPC-ASM- (B08W3CF11M Elastpro),0
0,0,0,420370903781708,PAUSED,0,0,SD-VCPM-ASM- (B07MNKGT2P Kuber),0
0,0,0,455734630575915,ENABLED,0,2,SD-CPC-ASM- (B08336VK4N Urbanfix),0
0,17.8,0,329042635556732,ENABLED,1,1120,SD-CPC-ASM- (B09K7YTVP7 Ladiosa),0
0,61.76,0,483274600242538,ENABLED,4,1999,SD-VCPM-ASM- (B09YP2YQK1 KayJen),0
0,0,0,560640835732321,ENABLED,0,17,SD-CPC-ASM-(B0DDXRHF54 Niwlix),0
0,0,0,554948198542369,ENABLED,0,0,SD-CPC-ASM- (B09YP2YQK1 KayJen),0
0,0.6,0,351456524576092,ENABLED,0,73,SD-VCPM-ASM- (B0D8L853WP Niwlix),0
0,0,0,410935427873743,PAUSED,0,0,SD-VCPM-ASM- (B0831486NM Elastpro),0
0,0,0,433365069808477,PAUSED,0,0,SD-CPC-ASM- (B07MNKGT2P Kuber),0
1,510.66,2,347327126610116,ENABLED,31,13211,SD-VCPM-EVA Kids Mat-B0CDH4X4DD Liltoes,4460.95
2,1075.73,4,319808882793969,ENABLED,60,22321,SD-VCPM-EVA Kids Mat-B08JZ8SS2H Liltoes,8084.77
0,0,0,503689132074175,PAUSED,0,0,SD-VCPM-ASM- (B0D7W73KZ1 Senego),0
