ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category
B0FCMW7MKM,B0FCMW7MKM,71,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCMLR62S,B0FCMLR62S,1340,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCFZW36G,B0FCFZW36G,69,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCG5JKGN,B0FCG5JKGN,2,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCG19KW3,B0FCG19KW3,4,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCG31261,B0FCG31261,27,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCG177NL,B0FCG177NL,505,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCMPL3DR,B0FCMPL3DR,109,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCMJVTF6,B0FCMJVTF6,1078,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCM2DXWM,B0FCM2DXWM,5,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCFTXQLL,B0FCFTXQLL,23,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCG17GFC,B0FCG17GFC,436,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0CXM7GV2N,B0CXM7GV2N,80,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0CXTDG11G,B0CXTDG11G,88,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0CXQ389V8,B0CXQ389V8,182,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0F8HF1BLP,B0F8HF1BLP,6,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
