Keyword,MatchType,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CPC,CVR%,Category
"asin=""B0842CPRCZ""",TARGETING_EXPRESSION,1536,6,92.77,371.19,2,24.99,15.46,33.33,TOP PERFORMER
phenyl floor cleaner,EXACT,873,2,91.14,244.92,1,37.21,45.57,50.0,MONITOR
"asin=""B0DBVTTYRR""",TARGETING_EXPRESSION,465,2,87.61,0.0,0,,43.8,0.0,NEGATE
"asin=""B0C857LVHK""",TARGETING_EXPRESSION,1427,4,85.64,321.19,1,26.66,21.41,25.0,MONITOR
toilet cleaner liquid 5 litre,EXACT,1872,4,78.59,0.0,0,,19.65,0.0,NEGATE
"asin=""B0CGHV8N2V""",TARGETING_EXPRESSION,1161,5,76.85,1004.24,3,7.65,15.37,60.0,TOP PERFORMER
handwash refill 5 litre,PHRASE,1612,3,76.18,0.0,0,,25.39,0.0,NEGATE
"asin=""B0DPMSG1PY""",TARGETING_EXPRESSION,1471,5,74.98,334.75,1,22.4,15.0,20.0,MONITOR
"asin=""B0F2TDSZJQ""",TARGETING_EXPRESSION,681,3,74.06,0.0,0,,24.69,0.0,NEGATE
"asin=""B014PCR0IS""",TARGETING_EXPRESSION,260,2,70.48,0.0,0,,35.24,0.0,NEGATE
handwash 5 ltr,EXACT,363,3,68.88,0.0,0,,22.96,0.0,NEGATE
"asin=""B08824PS2H""",TARGETING_EXPRESSION,2512,3,65.32,0.0,0,,21.77,0.0,NEGATE
"asin=""B0DBFF2H8Z""",TARGETING_EXPRESSION,607,3,64.07,0.0,0,,21.36,0.0,NEGATE
"asin=""B0DPL3DCXR""",TARGETING_EXPRESSION,2194,3,62.41,0.0,0,,20.8,0.0,NEGATE
"asin=""B0DDTMVGKD""",TARGETING_EXPRESSION,894,2,57.52,372.03,1,15.46,28.76,50.0,MONITOR
"asin=""B09RNLSSFL""",TARGETING_EXPRESSION,408,2,56.06,0.0,0,,28.03,0.0,NEGATE
