run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,found_any,page_est,pos_on_page,is_sponsored
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steamer,B0FT35Z27T,ok,1,True,1,47,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,egg boiler 4 eggs only,B0DHL729KL,ok,1,True,1,9,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steam for cold and cough,B0FT35Z27T,ok,2,True,2,15,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,electric water bag,B0CS3KQWMM,ok,1,True,1,15,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,floor cleaner 5 ltr,B0F8J3TFBL,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hotpack pain relief,B0CS3KQWMM,ok,1,True,1,48,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steamer for face steam facial,B0FT35Z27T,ok,1,True,1,40,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,silicone hair scalp massager,B0DH8C2TGT,ok,1,True,1,22,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,heat bag,B0CS3KQWMM,ok,2,True,2,1,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,heat pad,B0CS3KQWMM,ok,3,True,3,28,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hot pad for pain relief electric,B0CS3KQWMM,ok,2,True,2,15,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,bathroom cleaner liquid,B0F8H6VCNF,ok,2,True,2,24,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hot pack for pain relief,B0CS3KQWMM,ok,2,True,2,21,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,finail floor cleaner,B0F8J3TFBL,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,heat pad electric for pain relief,B0CS3KQWMM,ok,2,True,2,6,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,face steamer,B0FT35Z27T,ok,1,True,1,37,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,vaporizer,B0FT35Z27T,ok,1,True,1,28,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,handwash refill 5 litre,B0F8HXFXMH,ok,2,True,2,25,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,glass cleaner spray,B0F8HX1LWF,ok,1,True,1,18,True
20-01-2026,20-01-2026 15:00:58,www.amazon.in,bathroom tiles cleaner,B0F8H6VCNF,ok,1,True,1,45,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,vapour machine for cold and cough for adults,B0FT35Z27T,ok,1,True,1,23,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,toilet cleaner liquid 5 litre,B0FFB9SF9R,ok,2,True,2,26,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,dishwash gel,B0FFB9VK8N,ok,2,True,2,22,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,bathroom cleaning liquid,B0F8H6VCNF,ok,4,True,4,51,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steam machine for cold and cough,B0FT35Z27T,ok,2,True,2,28,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steam machine,B0FT35Z27T,ok,1,True,1,44,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,vaporiser,B0FT35Z27T,ok,1,True,1,29,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,vaporizer machine,B0FT35Z27T,ok,1,True,1,37,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steamer for cold and cough for adults,B0FT35Z27T,ok,1,True,1,27,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steam inhaler,B0FT35Z27T,ok,2,True,2,6,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steam vaporizer,B0FT35Z27T,ok,1,True,1,35,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,vapour machine,B0FT35Z27T,ok,1,True,1,29,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hot pack,B0CS3KQWMM,ok,1,True,1,46,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,streamer,B0FT35Z27T,ok,1,True,1,19,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,inhaler steamer,B0FT35Z27T,ok,1,True,1,24,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hot water bag for period cramps,B0CS3KQWMM,ok,1,True,1,43,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steam inhaler machine,B0FT35Z27T,ok,2,True,2,37,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,steamer for cold and cough for kids,B0FT35Z27T,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,dishwash bar,B0FFB9VK8N,ok,4,True,4,25,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,tile cleaner liquid strong,B0F8J3TFBL,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,dishwash liquid gel,B0FFB9VK8N,ok,2,True,2,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,dishwash liquid refill,B0FFB9VK8N,ok,1,True,1,29,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,floor cleaner liquid,B0F8J3TFBL,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,bathroom floor cleaner liquid,B0F8H6VCNF,ok,3,True,3,33,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,streamers for face,B0FT35Z27T,ok,1,True,1,43,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,glass cleaner 5 ltr,B0F8HX1LWF,ok,1,True,1,3,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,amla hair oil,B0FDQZDJF1,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,face scrub,B0FDQVW4YD,ok,3,True,3,7,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,hair oil for hair growth,B0FDQZDJF1,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,face scrub for glowing skin,B0FDQVW4YD,ok,1,True,1,37,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,de tan scrub,B0FDQVW4YD,ok,2,True,2,2,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,bhringraj hair oil,B0FDQZDJF1,ok,4,True,4,6,False
