run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,absolute_pos,organic_pos,sponsored_pos,found_any,found_org,found_sp,page_est,title,is_sponsored
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dash camera,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0G25K24LG,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,dashcam for car,B0FZV47Z1N,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0BN5NZCGH,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0D9HBWG5P,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0FZTTQ5L4,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0G13KKZ7Y,ok,3,,,,False,False,False,,,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,car dash camera front and rear,B0FZBLDVXF,ok,3,,,,False,False,False,,,False
