run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,found_any,page_est
17-01-2026,17-01-2026 18:41:06,amazon.in,starlight retractable car charger,B0FZTTQ5L4,ok,7,False,
17-01-2026,17-01-2026 18:41:06,amazon.in,retractable car charger,B0FZTTQ5L4,ok,2,True,2
17-01-2026,17-01-2026 18:41:06,amazon.in,car charger,B0FZTTQ5L4,ok,7,False,
