keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
281418631068486,15.31,Ad Group - 3/11/2025 14:42:58.404,TARGETING_EXPRESSION_PREDEFINED,394118169772902,0,943,472662761679244,4,substitutes,TARGETING_EXPRESSION_PREDEFINED,3,0,substitutes,SPA-Face Cream
98144753274775,0,Ad Group - 8/12/2025 13:35:16.598,PHRASE,311876590865493,0,2,506653995083011,9,hair oil for hair growth,PHRASE,0,0,hair oil for hair growth,SP-KT-Hair Revitaliser
209030565395814,0,Ad Group - 8/12/2025 13:35:16.598,EXACT,311876590865493,0,1,506653995083011,9,hair oil for hair growth,EXACT,0,0,hair oil for hair growth,SP-KT-Hair Revitaliser
180920080460852,9.72,Ad Group - 8/12/2025 13:35:16.598,PHRASE,311876590865493,0,58,506653995083011,9,amla hair oil,PHRASE,1,0,amla hair oil,SP-KT-Hair Revitaliser
191658283515719,0,Ad Group - 8/12/2025 13:35:16.598,EXACT,311876590865493,0,1,506653995083011,9,amla hair oil,EXACT,0,0,amla hair oil,SP-KT-Hair Revitaliser
239063360314827,0,Ad Group - 8/12/2025 13:35:16.598,PHRASE,311876590865493,0,34,506653995083011,9,bhringraj hair oil,PHRASE,0,0,bhringraj hair oil,SP-KT-Hair Revitaliser
198514222599950,9.9,Ad Group - 8/12/2025 13:35:16.598,PHRASE,311876590865493,0,12,506653995083011,9,ayurvedic hair oil,PHRASE,1,0,ayurvedic hair oil,SP-KT-Hair Revitaliser
113439844270882,0,Ad Group - 8/12/2025 13:35:16.598,EXACT,311876590865493,0,1,506653995083011,9,ayurvedic hair oil,EXACT,0,0,ayurvedic hair oil,SP-KT-Hair Revitaliser
134641324280426,0,Ad Group - 8/12/2025 13:35:16.598,PHRASE,311876590865493,0,1,506653995083011,9,hair oil for hair fall,PHRASE,0,0,hair oil for hair fall,SP-KT-Hair Revitaliser
60376613167454,0,Ad Group - 8/12/2025 13:35:16.598,PHRASE,311876590865493,0,6,506653995083011,9,hair oil for dandruff,PHRASE,0,0,hair oil for dandruff,SP-KT-Hair Revitaliser
263088168701248,1029.55,Ad Group - 12/12/2025 16:55:23.598,EXACT,422854550275428,2097.46,16952,503396541527413,12,face scrub for glowing skin,EXACT,47,5,face scrub for glowing skin,SP-KT-Kesar Chandan Scrub
278398223230595,6051.82,Ad Group - 12/12/2025 16:55:23.598,PHRASE,422854550275428,10906.75,81328,503396541527413,15,face scrub,PHRASE,346,26,face scrub,SP-KT-Kesar Chandan Scrub
185197242059361,1020.59,Ad Group - 12/12/2025 16:55:23.598,EXACT,422854550275428,838.98,10462,503396541527413,15,face scrub,EXACT,42,2,face scrub,SP-KT-Kesar Chandan Scrub
140334033809406,155.3,Ad Group - 12/12/2025 16:55:23.598,PHRASE,422854550275428,0,6888,503396541527413,12,de tan scrub,PHRASE,10,0,de tan scrub,SP-KT-Kesar Chandan Scrub
71496563938027,31.49,Ad Group - 12/12/2025 16:55:23.598,PHRASE,422854550275428,0,7,503396541527413,10,kesar chandan scrub,PHRASE,2,0,kesar chandan scrub,SP-KT-Kesar Chandan Scrub
194963351780974,0,Ad Group - 12/12/2025 16:55:23.598,PHRASE,422854550275428,0,15,503396541527413,10.95,ayurvedic scrub for face,PHRASE,0,0,ayurvedic scrub for face,SP-KT-Kesar Chandan Scrub
275922792247798,73.37,Ad Group - 24/12/2025 16:09:57.607,TARGETING_EXPRESSION,540001868136112,0,197,329783617455077,26.75,"asin=""B0FDQPLGWM""",TARGETING_EXPRESSION,3,0,"asin=""B0FDQPLGWM""",SP-Defensive-Face Cleanser
47315987720442,0,Ad Group - 24/12/2025 16:09:57.607,TARGETING_EXPRESSION,540001868136112,0,179,329783617455077,23.55,"asin=""B0FDQJTFP2""",TARGETING_EXPRESSION,0,0,"asin=""B0FDQJTFP2""",SP-Defensive-Face Cleanser
138441529738731,0,Ad Group - 24/12/2025 16:09:57.607,TARGETING_EXPRESSION,540001868136112,0,34,329783617455077,26.75,"asin=""B0FDQMJGMR""",TARGETING_EXPRESSION,0,0,"asin=""B0FDQMJGMR""",SP-Defensive-Face Cleanser
