targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
substitutes,8.3,face scrub 500ml,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,1,SPA-Face Scrub,441760799846673
face scrub,18.73,face scrub amd pack for dry skin,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.0,face scrub and face pack both,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,1,419.49,3,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,12.95,face scrub anti tan,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,14.84,face scrub ayurveda powder,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,3,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.27,face scrub big size,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,4,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.84,face scrub biotique,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,19.18,face scrub box,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,3,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,18.13,face scrub coffee,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
face scrub,16.75,face scrub cream for men indusvalley,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",44.57,face scrub dr rashel,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,5,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",41.27,face scrub dry skin,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
