SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
babypro baby mats for floor,1269,34,177.72,871.43,1,20.39,2.94,MONITOR
winter clothes storage bag,120,11,176.12,2780.95,5,6.33,45.45,BEST CONVERTING
kids playing area mat,3227,34,174.23,890.48,1,19.57,2.94,MONITOR
rubber tiles for gym,1156,24,174.13,852.38,1,20.43,4.17,MONITOR
baby interlocking mats for floor,1619,28,174.07,0.0,0,,0.0,ADD AS NEGATIVE
b0d9hbwg5p,2175,34,173.99,849.57,1,20.48,2.94,MONITOR
tummy time water mat for babies,1738,32,173.85,900.0,1,19.32,3.12,MONITOR
floor mat for baby crawling,824,27,173.53,0.0,0,,0.0,ADD AS NEGATIVE
shelf liners 60 cm width,1013,13,173.51,800.85,1,21.67,7.69,MONITOR
gym tiles rubber floor,405,27,173.08,8780.96,3,1.97,11.11,BEST CONVERTING
play mat for baby,642,29,172.21,0.0,0,,0.0,ADD AS NEGATIVE
canvas blanket storage bags,865,11,171.87,519.05,1,33.11,9.09,MONITOR
b0d7hsdyjc,647,15,171.14,0.0,0,,0.0,ADD AS NEGATIVE
eva mats,237,23,169.9,7402.85,2,2.3,8.7,BEST CONVERTING
gym floor foam mat,5341,32,168.84,0.0,0,,0.0,ADD AS NEGATIVE
kids foam play mats,449,24,168.49,1544.76,1,10.91,4.17,MONITOR
mat baby,420,26,167.74,0.0,0,,0.0,ADD AS NEGATIVE
floor covering sheets for home,132,20,167.55,0.0,0,,0.0,ADD AS NEGATIVE
b07l6x5j6z,610,14,167.37,900.0,2,18.6,14.29,BEST CONVERTING
floor mat baby 12mm thick,1380,29,167.16,0.0,0,,0.0,ADD AS NEGATIVE
ladiosa shelf liners for kitchen shelves,1069,16,167.05,0.0,0,,0.0,ADD AS NEGATIVE
b079l6t1km,1024,16,165.73,452.38,1,36.64,6.25,MONITOR
supples baby mats for floor,1209,31,165.14,852.38,1,19.37,3.23,MONITOR
washable wardrobe shelf liners,271,11,164.85,0.0,0,,0.0,ADD AS NEGATIVE
baby playmat,683,29,164.68,856.19,1,19.23,3.45,MONITOR
medium cloth storage bags for clothes,312,11,164.46,411.02,1,40.01,9.09,MONITOR
kids room mat,475,24,163.98,0.0,0,,0.0,ADD AS NEGATIVE
