run_date,tracked_at,marketplace,group,keyword,asin,scan_status,scanned_pages,found_any,page_est
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen mats for shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rack sheets,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rack sheets,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rack sheets,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rack sheets,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rolls for shelves,B0BN5NZCGH,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rolls for shelves,B0BN5P232F,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rolls for shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen rolls for shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen self sheet waterproof,B0BN5NZCGH,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen self sheet waterproof,B0BN5P232F,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen self sheet waterproof,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen self sheet waterproof,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen sheets for shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen sheets for shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen sheets for shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen sheets for shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf covers,B0BN5NZCGH,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf covers,B0BN5P232F,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf covers,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf covers,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf liners,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf liners,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf liners,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf liners,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf mats roll,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf mats roll,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf mats roll,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf mats roll,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets waterproof,B0BN5NZCGH,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets waterproof,B0BN5P232F,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets waterproof,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,kitchen shelf sheets waterproof,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic roll for kitchen shelf,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic roll for kitchen shelf,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic roll for kitchen shelf,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic roll for kitchen shelf,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic rolls for shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic rolls for shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic rolls for shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic rolls for shelves,B0BN631JD4,ok,7,True,7
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic sheet for kitchen shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic sheet for kitchen shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic sheet for kitchen shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,plastic sheet for kitchen shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B09MYDPF3Y,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B0F91VHKKW,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B0F228RM13,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B0F7RLG815,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B0D9HBWG5P,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B0F9X8LW1G,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,play mats for kids,B0822GYVNX,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for cupboard shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for cupboard shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for cupboard shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for cupboard shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for kitchen shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for kitchen shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for kitchen shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheet for kitchen shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for kitchen shelves,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for kitchen shelves,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for kitchen shelves,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for kitchen shelves,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for wardrobe,B0BN5NZCGH,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for wardrobe,B0BN5P232F,ok,7,True,1
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for wardrobe,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,sheets for wardrobe,B0BN631JD4,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers,B0BN5NZCGH,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers,B0BN5P232F,ok,7,True,2
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers,B0CN177JS7,ok,7,False,
29-01-2026,29-01-2026 17:59:13,www.amazon.in,ASM,shelf covers,B0BN631JD4,ok,7,False,
