asin,pincode,url,title,is_buyable,availability_text,amazon_fulfilled,merchant_text,delivery_type,delivery_text,captcha_seen,error
B0FFB9VK8N,226001,https://www.amazon.in/dp/B0FFB9VK8N,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April. Details | Tuesday, 28 April",False,
B0F8HF1BLP,226001,https://www.amazon.in/dp/B0F8HF1BLP,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April. Details | Tuesday, 28 April",False,
B0F8HPR6V1,226001,https://www.amazon.in/dp/B0F8HPR6V1,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April on your first order. Details | Tuesday, 28 April",False,
B0F8J3TFBL,226001,https://www.amazon.in/dp/B0F8J3TFBL,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April on your first order. Details | Tuesday, 28 April",False,
B0FFB9SF9R,226001,https://www.amazon.in/dp/B0FFB9SF9R,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 1 hr 11 mins. Details | Thursday, 23 April | 1 hr 11 mins",False,
B0F8J275QC,226001,https://www.amazon.in/dp/B0F8J275QC,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April on your first order. Details | Tuesday, 28 April",False,
B0F8HXFXMH,226001,https://www.amazon.in/dp/B0F8HXFXMH,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April on your first order. Details | Tuesday, 28 April",False,
B0F8J41165,226001,https://www.amazon.in/dp/B0F8J41165,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April on your first order. Details | Tuesday, 28 April",False,
B0F8J4RHL5,226001,https://www.amazon.in/dp/B0F8J4RHL5,,True,In stock,False,,other,"FREE delivery Tuesday, 28 April on your first order. Details | Tuesday, 28 April",False,
B0FFBC22J7,284001,https://www.amazon.in/dp/B0FFBC22J7,,True,In stock,False,,other,"FREE delivery Saturday, 25 April on your first order. Details | Saturday, 25 April",False,
B0F8HX1LWF,284001,https://www.amazon.in/dp/B0F8HX1LWF,,False,Currently unavailable. | Deliver to Jhansi 284001‌ | Deliver to | 5 l (Pack of 1) Currently unavailable. | Currently unavailable. We don't know when or if this item will be back in stock. | Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Jhansi 284001‌ Add to Wish List,False,,unavailable,free delivery on eligible orders | FREE Delivery by Amazon,False,
B0F8HSCMZB,284001,https://www.amazon.in/dp/B0F8HSCMZB,,False,In stock | Currently unavailable. | 5 l (Pack of 1) Currently unavailable.,False,,unavailable,"FREE delivery Saturday, 25 April. Details | Saturday, 25 April",False,
B0FFB9VK8N,284001,https://www.amazon.in/dp/B0FFB9VK8N,,True,In stock,False,,other,"FREE delivery Friday, 24 April. Details | Friday, 24 April",False,
B0F8HF1BLP,284001,https://www.amazon.in/dp/B0F8HF1BLP,,True,In stock,False,,other,"FREE delivery Friday, 24 April. Details | Friday, 24 April",False,
B0F8HPR6V1,284001,https://www.amazon.in/dp/B0F8HPR6V1,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 8 hrs 39 mins. Details | Thursday, 23 April | 8 hrs 39 mins",False,
B0F8J3TFBL,284001,https://www.amazon.in/dp/B0F8J3TFBL,,True,In stock,False,,other,"FREE delivery Saturday, 25 April on your first order. Details | Saturday, 25 April",False,
B0FFB9SF9R,284001,https://www.amazon.in/dp/B0FFB9SF9R,,True,In stock,False,,other,"FREE delivery Friday, 24 April on your first order. Order within 1 hr 9 mins. Details | Friday, 24 April | 1 hr 9 mins",False,
B0F8J275QC,284001,https://www.amazon.in/dp/B0F8J275QC,,True,In stock,False,,other,"FREE delivery Saturday, 25 April on your first order. Details | Saturday, 25 April",False,
B0F8HXFXMH,284001,https://www.amazon.in/dp/B0F8HXFXMH,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 8 hrs 38 mins. Details | Thursday, 23 April | 8 hrs 38 mins",False,
B0F8J41165,284001,https://www.amazon.in/dp/B0F8J41165,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 8 hrs 38 mins. Details | Thursday, 23 April | 8 hrs 38 mins",False,
