asin,pincode,url,title,is_buyable,availability_text,amazon_fulfilled,merchant_text,delivery_type,delivery_text,captcha_seen,error
B0BN5P95C4,600001,https://www.amazon.in/dp/B0BN5P95C4,,True,In stock,False,,other,"FREE delivery Wednesday, 1 April. Order within 9 hrs 9 mins. Details | Wednesday, 1 April | 9 hrs 9 mins",False,
B0BN5QLGTC,600001,https://www.amazon.in/dp/B0BN5QLGTC,,True,In stock,False,,other,"FREE delivery Wednesday, 1 April on your first order. Order within 13 hrs 9 mins. Details | Wednesday, 1 April | 13 hrs 9 mins",False,
B0BN5QG1KJ,600001,https://www.amazon.in/dp/B0BN5QG1KJ,,True,In stock,False,,other,"FREE delivery Monday, 30 March on your first order. Details | Monday, 30 March",False,
B0BN5NVRF5,600001,https://www.amazon.in/dp/B0BN5NVRF5,,True,In stock,False,,other,"FREE delivery Wednesday, 1 April. Order within 13 hrs 19 mins. Details | Wednesday, 1 April | 13 hrs 19 mins",False,
B0BN5PMK3V,600001,https://www.amazon.in/dp/B0BN5PMK3V,,True,In stock,False,,other,"FREE delivery Monday, 30 March on your first order. Details | Monday, 30 March | FREE delivery Monday, 30 March on your first order. Details Or fastest delivery Sunday, 29 March. Order within 9 mins. Details",False,
B0BN5R2L4Q,600001,https://www.amazon.in/dp/B0BN5R2L4Q,,True,In stock,False,,other,"FREE delivery Wednesday, 1 April. Order within 13 hrs 18 mins. Details | Wednesday, 1 April | 13 hrs 18 mins",False,
B0BN5P7KMN,600001,https://www.amazon.in/dp/B0BN5P7KMN,,True,In stock,False,,other,"FREE delivery Monday, 30 March. Details | Monday, 30 March",False,
