cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
1531.79,10,Ad Group - 24/1/2026 13:28:53.635,247409222779109,B0G1YX6GXV,90,SB_Orange&Navy Blue_33Ltrs_PO2,10,5419.04,9039,SP-KT-Storage Bag,342060053515502
217.42,1,Ad Group - 24/1/2026 13:28:53.635,247409222779109,B0G1YWZH29,14,SB_Grey&Black_33Ltrs_PO2,1,452.38,2505,SP-KT-Storage Bag,342060053515502
339.02,0,Ad Group - 24/1/2026 13:18:54.595,82554496906576,B0G1YX6GXV,18,SB_Orange&Navy Blue_33Ltrs_PO2,0,0.0,3901,SP-KT-Clothes Storage Box,391892833452953
257.12,0,Ad Group - 24/1/2026 13:18:54.595,82554496906576,B0G1YWZH29,15,SB_Grey&Black_33Ltrs_PO2,0,0.0,2741,SP-KT-Clothes Storage Box,391892833452953
480.38,5,Ad Group - 24/5/2025 11:34:17.967,471873610002541,B086424GCB,48,eva_mats_black_16,4,14119.04,9433,SP-KT-EVA Gym Mat- (Gym Mats for Floor),438144705350280
23.06,0,Ad Group - 31/1/2026 15:38:24.556,241740193793969,B0G1YKGMTJ,2,SB_Black&White_70Ltrs_PO2,0,0.0,653,SP-PT-SB-(B07B8K3RQK Storite),518615471165393
0.0,0,Ad Group - 31/1/2026 15:38:24.556,241740193793969,B0G1YHH1ZN,0,SB_Orange & Navy Blue_70Ltrs_PO2,0,0.0,55,SP-PT-SB-(B07B8K3RQK Storite),518615471165393
432.98,5,Ad Group - 31/1/2026 15:42:54.492,6450007315179,B0G1YX6GXV,30,SB_Orange&Navy Blue_33Ltrs_PO2,4,2261.9,2103,SP-PT-SB-(B07QRQZK1G Storite),436104199067330
183.48,0,Ad Group - 31/1/2026 15:42:54.492,6450007315179,B0G1YWZH29,12,SB_Grey&Black_33Ltrs_PO2,0,0.0,839,SP-PT-SB-(B07QRQZK1G Storite),436104199067330
4695.6,23,Ad Group - 31/1/2026 15:44:31.254,203340432142488,B0G1YX6GXV,240,SB_Orange&Navy Blue_33Ltrs_PO2,23,12685.7,14761,SP-PT-SB-(B07BZ1XZ77 Storite),390627196583481
470.98,0,Ad Group - 31/1/2026 15:44:31.254,203340432142488,B0G1YWZH29,25,SB_Grey&Black_33Ltrs_PO2,0,0.0,1769,SP-PT-SB-(B07BZ1XZ77 Storite),390627196583481
48.94,0,Ad Group - 31/1/2026 15:39:21.079,33915106654796,B0G1YX6GXV,3,SB_Orange&Navy Blue_33Ltrs_PO2,0,0.0,154,SP-PT-SB-(B081T9SFWY Storite),302484975782956
35.52,0,Ad Group - 31/1/2026 15:39:21.079,33915106654796,B0G1YWZH29,2,SB_Grey&Black_33Ltrs_PO2,0,0.0,34,SP-PT-SB-(B081T9SFWY Storite),302484975782956
80.18,0,Ad Group - 31/1/2026 15:39:17.258,65232048239628,B0G1YKGMTJ,5,SB_Black&White_70Ltrs_PO2,0,0.0,703,SP-PT-SB-(B0DBDWG8K4 Storite),296880529921132
104.75,1,Ad Group - 31/1/2026 15:39:17.258,65232048239628,B0G1YHH1ZN,5,SB_Orange & Navy Blue_70Ltrs_PO2,1,471.43,722,SP-PT-SB-(B0DBDWG8K4 Storite),296880529921132
8.85,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0D9HH4VYG,1,eHK_Black&Grey_EVA_PO8,0,0.0,96,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
124.39,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0CRKV5XTR,12,eHK_EVA_Black_4,0,0.0,380,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
99.1,1,Ad Group - 31/1/2026 15:44:31.254,203340432142488,B0G1YX68NH,6,SB_Black&White_33Ltrs_PO4,1,900.0,2008,SP-PT-SB-(B07BZ1XZ77 Storite),390627196583481
145.12,0,Ad Group - 24/5/2025 13:46:29.001,491551781535347,B0D9HH4VYG,14,eHK_Black&Grey_EVA_PO8,0,0.0,1427,SP-PT-EVA Gym Mat- (B0D95TB7KV Xtrim),347374572734676
140.72,1,Ad Group - 24/5/2025 12:15:14.966,335463343417473,B0DX25VNGF,12,eh_eva_mats_black_8,1,2833.33,1528,SP-KT-EVA Gym Mat- (Rubber Mat for Gym),550847276292210
0.0,0,Ad Group - 24/5/2025 11:37:22.788,355311063587869,B0D9HH4VYG,0,eHK_Black&Grey_EVA_PO8,0,0.0,30,SP-KT-EVA Gym Mat- (Foam Mat),413600167687188
16.9,0,Ad Group - 24/5/2025 11:37:22.788,355311063587869,B0CRKV5XTR,3,eHK_EVA_Black_4,0,0.0,246,SP-KT-EVA Gym Mat- (Foam Mat),413600167687188
