sku,asin,product_name,fc_code,quantity,fc_type,snapshot_date
SB_Navy Blue&White_70Ltrs_PO4,B0G1YT7BSC,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",XHZU,5,seller_flex,2026-04-13
SB_Grey&Black_70Ltrs_PO4,B0G1YPPMQR,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",BLR8,5,amazon_fba,2026-04-13
SB_Grey&Black_70Ltrs_PO4,B0G1YPPMQR,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",BOM5,0,amazon_fba,2026-04-13
SB_Grey&Black_70Ltrs_PO4,B0G1YPPMQR,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",CJB1,9,amazon_fba,2026-04-13
SB_Grey&Black_70Ltrs_PO4,B0G1YPPMQR,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",HYD3,5,amazon_fba,2026-04-13
SB_Grey&Black_70Ltrs_PO4,B0G1YPPMQR,"EASY HOME 70 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (54x46x28 cm, Medium)",XHZU,8,seller_flex,2026-04-13
SB_Grey&Black_33Ltrs_PO4,B0G1YW28HY,"EASY HOME 33 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (44x24x31 cm, Medium)",BOM5,9,amazon_fba,2026-04-13
SB_Grey&Black_33Ltrs_PO4,B0G1YW28HY,"EASY HOME 33 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (44x24x31 cm, Medium)",CJB1,10,amazon_fba,2026-04-13
SB_Grey&Black_33Ltrs_PO4,B0G1YW28HY,"EASY HOME 33 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (44x24x31 cm, Medium)",LKO1,4,amazon_fba,2026-04-13
SB_Grey&Black_33Ltrs_PO4,B0G1YW28HY,"EASY HOME 33 litre Under bed Storage Bags for Clothes | Cloth Storage Organizer with Zip Closure | Wardrobe Bag for Sarees, Quilts & Blankets | Moisture Proof Nylon Cover Bag (44x24x31 cm, Medium)",XHZU,0,seller_flex,2026-04-13
