Month,Days_in_Period,Raw_Total_Spend,Raw_Total_Sales,Daily_Spend,Daily_Ad_Sales,Proj_30d_Spend,Proj_30d_Ad_Sales,ROAS,ACoS%,Avg_CPC,CTR%,Total_Clicks,Total_Impressions,SP_Spend,SD_Spend,SP%,SD%
2026-01,26,206880.0,0.0,7957.0,0.0,238708.0,0.0,0.0,0,7.4,0.78,27947,3604585,206880.0,0,100.0,0.0
2026-02,28,230685.0,101605.0,8239.0,3629.0,247162.0,108862.0,0.44,227.0,7.46,0.79,30917,3915120,220439.0,10245.0,95.6,4.4
2026-03,31,266394.0,166453.0,8593.0,5369.0,257800.0,161084.0,0.62,160.0,7.98,0.78,33385,4276510,247745.0,18649.0,93.0,7.0
2026-04,11,129254.0,40506.0,11750.0,3682.0,352510.0,110470.0,0.31,319.1,9.22,0.78,14022,1794277,124349.0,4905.0,96.2,3.8
