ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category,CategoryKey,total_units,total_revenue,shipped_units,cancelled_units,fba_available,fba_inbound,fba_total,cost_price,organic_sales,blended_roas,ad_contribution_pct
B0D9HBWG5P,eh_DIAMOND_EVA_MULTI_PO6,76133,1013,5980.18,72281.93,30,34,8.27,12.09,1.33,2.96,5.9,1,PUSH HARDER,EVA_Kids,28.0,42190.0,28.0,0.0,,,,510.0,0.0,7.054971589483928,171.32479260488265
B0D9QXVWLL,LT_Baby_Play_Mat_N,81539,922,5925.57,29739.39,34,35,19.92,5.02,1.13,3.69,6.43,10,WINNER,BPM,72.0,63417.14,69.0,0.0,,,,,33677.75,10.702285181003685,46.89487731550177
B0G1YT2S5N,SB_Grey&Black_70Ltrs_PO2,107153,450,5789.06,21219.46,36,39,27.28,3.67,0.42,8.0,12.86,8,MONITOR,Storage,48.0,23760.0,48.0,0.0,,,,,2540.540000000001,4.104293270410049,89.30749158249158
B0BN5NZCGH,AntiSkidMat_Diamond_Grey_45cmx5mtr,128594,554,5538.53,13740.77,30,31,40.31,2.48,0.43,5.42,10.0,8,MONITOR,ASM,59.0,23247.4,57.0,0.0,,,,150.0,9506.630000000001,4.197395337752075,59.10669580254135
B09MY5K3SH,EH-Black-Interlock-Mat-4,115016,1246,4848.41,27309.55,14,14,17.75,5.63,1.08,1.12,3.89,6,WINNER,EVA_Kids,20.0,18202.0,20.0,0.0,,,,320.0,0.0,3.7542204557782863,150.03598505658718
B0D54GKMYX,LT_Baby_Play_Mat,117619,757,4831.03,15924.68,20,20,30.34,3.3,0.64,2.64,6.38,10,MONITOR,BPM,32.0,29398.47,31.0,0.0,,,,,13473.79,6.085342049211039,54.16839719890185
B0822GYVNX,eva_mats_multi_16,85552,700,4804.33,141833.29,35,54,3.39,29.52,0.82,5.0,6.86,22,PUSH HARDER,EVA_Kids,251.0,724283.47,251.0,0.0,,,,1220.0,582450.1799999999,150.75639475223392,19.5825662016006
B08642G3SR,eva_mats_black_8,125064,551,4623.11,43698.13,24,24,10.58,9.45,0.44,4.36,8.39,9,PUSH HARDER,EVA_Gym,37.0,59710.0,36.0,0.0,,,,610.0,16011.870000000003,12.91554819158532,73.18393903868699
B0F9X8LW1G,EH_EVA_Brown&Beige_PO9,38984,541,4359.62,17334.26,7,9,25.15,3.98,1.39,1.29,8.06,11,MONITOR,EVA_Gym,54.0,112506.0,54.0,0.0,,,,,95171.74,25.806377620067806,15.407409382610703
B0F7RLG815,EH_EVA_Orange_Sea_Green_Navy_PO9,31973,479,4225.74,46023.74,17,23,9.18,10.89,1.5,3.55,8.82,10,PUSH HARDER,EVA_Kids,20.0,41480.0,20.0,0.0,,,,,0.0,9.816032221575393,110.95405014464801
