run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,absolute_position,organic_position,sponsored_position,found_anywhere,found_organic,found_sponsored,page_est,title,product_url,found,is_sponsored,absolute_pos,organic_pos,sponsored_pos,found_any,found_org,found_sp
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,shelf liners for kitchen shelves,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,shelf liners for kitchen shelves,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,shelf liners for kitchen shelves,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,shelf liners for kitchen shelves,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0FZTTQ5L4,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0G13KKZ7Y,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0FZBLDVXF,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0G25K24LG,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,kids interlocking mats,B0FZV47Z1N,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0BN5NZCGH,ok,3,,,,,,,,,,,False,,,,False,False,False
19-12-2025,19-12-2025 20:35:01,https://www.amazon.in,starlight retractable car charger,B0D9HBWG5P,ok,3,,,,,,,,,,,False,,,,False,False,False
