cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
5147.4,12,Ad Group - 28/10/2025 15:53:21.629,443817337002972,B0FFB9VK8N,349,B0FFB9VK8N,12,1955.88,82966,SP-KT-Dishwash,396414115142382
3133.26,21,Ad Group - 27/12/2025 13:05:14.745,449918354347491,B0F8HX1LWF,132,B0F8HX1LWF,21,6855.14,56704,SP-PT-Glass Cleaner,426965246244511
1232.77,9,Ad Group - 28/12/2025 13:34:30.696,283430406546761,B078MMX2GK,185,Smilecasters_BC_Black,9,4209.55,19549,SPA-SmileCaster,348191669525917
21.63,0,Ad Group - 28/12/2025 13:34:30.696,283430406546761,B078MGZ6FX,3,Smilecasters_BC_RoyalBlue,0,0,1380,SPA-SmileCaster,348191669525917
2813.94,6,Ad Group - 30/9/2025 13:20:13.337,474884043698560,B0F8HBSXCF,89,B0F8HBSXCF,5,1906.8,31734,SP-KT-Bathroom Cleaner-Multi Keywords,362897441336816
3350.95,15,Ad Group - 29/9/2025 16:22:44.351,382668512964887,B0F8J3TFBL,106,B0F8J3TFBL,14,3704.3,37686,SP-KT-Floor Cleaner-Multi Keywords,388760220039137
3025.36,31,Ad Group - 8/9/2025 16:03:04.670,541827772160779,B0F8J3TFBL,259,B0F8J3TFBL,30,7592.52,229728,SPA-Floor Cleaner,362241293488270
35.85,0,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0FFBC22J7,3,B0FFBC22J7,0,0,182,SP-PT-Hommies-Defensive,460816320577344
59.87,0,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0F8HPR6V1,5,B0F8HPR6V1,0,0,675,SP-PT-Hommies-Defensive,460816320577344
160.19,1,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0F8J3TFBL,14,B0F8J3TFBL,1,244.92,4865,SP-PT-Hommies-Defensive,460816320577344
0,0,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0F8HX1LWF,0,B0F8HX1LWF,0,0,153,SP-PT-Hommies-Defensive,460816320577344
60.65,0,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0FFB9SF9R,5,B0FFB9SF9R,0,0,1026,SP-PT-Hommies-Defensive,460816320577344
55.99,0,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0FFB9VK8N,5,B0FFB9VK8N,0,0,1034,SP-PT-Hommies-Defensive,460816320577344
11.96,0,Ad Group - 15/1/2026 15:36:07.814,53912245365086,B0F8HXFXMH,1,B0F8HXFXMH,0,0,207,SP-PT-Hommies-Defensive,460816320577344
21458.38,122,Ad Group - 22/1/2026 13:55:20.303,150935945169412,B0FFB9VK8N,1267,B0FFB9VK8N,119,19732.55,177224,SP-PT-Dishwash,395150706452908
18678.29,155,Ad Group - 22/1/2026 14:13:21.915,219554620839594,B0FFB9SF9R,956,B0FFB9SF9R,143,29645.09,119252,SP-PT-Toilet Cleaner,346393697030121
4485.33,0,Ad Group - 22/1/2026 16:39:45.960,233363584560305,B0F8HY4X2J,137,B0F8HY4X2J,0,0,54609,SPA-Hand Sanitizer,340480483728003
9035.13,21,Ad Group - 22/1/2026 14:32:58.474,16843794354150,B0F8HXFXMH,285,B0F8HXFXMH,21,8512.72,99577,SP-PT-Handwash,398274808323663
1600.75,2,Ad Group - 22/1/2026 16:27:43.573,180284341484787,B0F8HBSXCF,54,B0F8HBSXCF,2,635.6,13626,SP-PT-Bathroom Cleaner,547292769297375
4182.87,33,Ad Group - 22/1/2026 14:46:19.663,22275390977964,B0F8HPR6V1,165,B0F8HPR6V1,27,11412.7,110009,SP-PT-Floor Cleaner,371824058479191
18391.32,131,Ad Group - 14/2/2026 16:08:33.219,36300873748827,B0F8J3TFBL,791,B0F8J3TFBL,118,32119.21,169362,SP-PT-Phenyl,523108565860032
2161.67,2,Ad Group - 22/1/2026 16:27:43.573,180284341484787,B0FFBC22J7,78,B0FFBC22J7,2,455.93,33205,SP-PT-Bathroom Cleaner,547292769297375
6128.76,24,Steamer- 2/3/2026 10:30:04.075,185952594798445,B0FT35Z27T,605,B0FT35Z27T,24,5525.53,68508,Steamer- 2/3/2026 10:30:10.328,448954156706047
1200.23,8,Steamer- 2/3/2026 10:30:04.075,185952594798445,B0BV2HCNGM,159,B0BV2HCNGM,8,1755.92,34623,Steamer- 2/3/2026 10:30:10.328,448954156706047
825.77,4,Steamer- 2/3/2026 10:30:04.075,185952594798445,B0DL3DF56S,112,B0DL3DF56S,4,877.97,24122,Steamer- 2/3/2026 10:30:10.328,448954156706047
1700.55,10,Steamer- 2/3/2026 10:30:04.075,185952594798445,B0CG6BLJMK,218,B0CG6BLJMK,10,2466.7,32634,Steamer- 2/3/2026 10:30:10.328,448954156706047
4938.39,16,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,B0DSPZD1X6,631,B0DSPZD1X6,16,4732.16,221168,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
19395.61,136,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,B0DHL729KL,2034,N9-NXLH-PG78,135,42557.24,312508,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
22408.7,248,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,B0CGNMWJMT,2732,B0CGNMWJMT,244,40324.82,185104,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
2446.25,20,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,B0CS3J1TX3,352,B0CS3J1TX3,16,3203.4,40305,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
1040.6,6,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,B0FRXZ6V3H,168,8T-I5PI-U6RE,6,1968.65,59928,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
119.32,1,floor cleaner,254888731825287,B0F8HPR6V1,14,B0F8HPR6V1,1,372.03,22727,SPA-Hommies-Non selling SKU,347929053068303
1388.56,38,toilet cleaner,254888731825287,B0F4D9Z5MX,184,B0F4D9Z5MX,32,4256.02,26738,SPA-Hommies-Non selling SKU,361207101607478
400.94,5,toilet cleaner,254888731825287,B0F8J62NFY,48,B0F8J62NFY,5,1673.74,20540,SPA-Hommies-Non selling SKU,361207101607478
251.46,5,glass cleaner,254888731825287,B0F8HSCMZB,33,B0F8HSCMZB,5,537.33,2780,SPA-Hommies-Non selling SKU,339357991452314
631.52,11,glass cleaner,254888731825287,B0FFBCSQBK,75,B0FFBCSQBK,10,1524.57,25045,SPA-Hommies-Non selling SKU,339357991452314
502.12,9,bathroom cleaner,254888731825287,B0F8H6VCNF,65,B0F8H6VCNF,5,1238.13,38414,SPA-Hommies-Non selling SKU,386947931118971
50.01,0,handwash,254888731825287,B0F8J41165,6,B0F8J41165,0,0,3649,SPA-Hommies-Non selling SKU,546792343570883
15.0,0,handwash,254888731825287,B0F8J4RHL5,2,B0F8J4RHL5,0,0,534,SPA-Hommies-Non selling SKU,546792343570883
75.94,1,dishwash,254888731825287,B0F8HP147Z,9,B0F8HP147Z,1,546.61,4409,SPA-Hommies-Non selling SKU,353095324653889
7.02,0,Ad Group - 4/4/2026 15:15:35.744,176299667442030,B0F8J4RHL5,1,B0F8J4RHL5,0,0,219,SPA-Non Selling Handwash,466226641363849
17.01,0,Ad Group - 4/4/2026 15:15:35.744,176299667442030,B0F8J41165,2,B0F8J41165,0,0,2070,SPA-Non Selling Handwash,466226641363849
100.51,0,Ad Group - 4/4/2026 15:19:40.845,73112425027996,B0F8HP147Z,8,B0F8HP147Z,0,0,3140,SPA-Non Selling Dishwash,377545093946838
0,0,Ad Group - 4/4/2026 15:19:40.845,73112425027996,B0F8HF1BLP,0,B0F8HF1BLP,0,0,6,SPA-Non Selling Dishwash,377545093946838
429.06,4,Ad Group - 4/4/2026 15:17:20.499,31195746368660,B0F8H6VCNF,34,B0F8H6VCNF,2,369.5,16356,SPA-Non Selling Bathroom Cleaner,335805093123753
70.51,1,Ad Group - 4/4/2026 15:17:20.499,31195746368660,B0F8HBSXCF,6,B0F8HBSXCF,1,317.8,2302,SPA-Non Selling Bathroom Cleaner,335805093123753
