SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
clayco matcha enzyme scrub,422,2,75.84,0.0,0,,0.0,ADD AS NEGATIVE
b0fp5k52cq,37,3,75.07,0.0,0,,0.0,ADD AS NEGATIVE
tan removal scrub for women,50,2,74.88,0.0,0,,0.0,ADD AS NEGATIVE
lotus scrub,133,2,73.55,0.0,0,,0.0,ADD AS NEGATIVE
b0fdqplgwm,53,3,73.37,0.0,0,,0.0,ADD AS NEGATIVE
under eye cream,693,3,73.17,0.0,0,,0.0,ADD AS NEGATIVE
best scrub for glowing skin,14,3,72.8,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for men,57,4,70.86,419.49,1,16.89,25.0,MONITOR
kama face scrub,5,2,69.85,0.0,0,,0.0,ADD AS NEGATIVE
fabindia face scrub,4,2,69.27,0.0,0,,0.0,ADD AS NEGATIVE
dermalogica face scrub,5,1,68.07,0.0,0,,0.0,ADD AS NEGATIVE
facial scrubs & polishes,33,2,67.57,419.49,1,16.11,50.0,MONITOR
loreal face scrub,25,2,67.33,0.0,0,,0.0,ADD AS NEGATIVE
b09hp5sdxl,5,2,66.98,0.0,0,,0.0,ADD AS NEGATIVE
papaya scrub,63,3,66.65,0.0,0,,0.0,ADD AS NEGATIVE
himalaya face scrub for women,23,2,66.42,0.0,0,,0.0,ADD AS NEGATIVE
mama earth face scrub,25,2,66.4,0.0,0,,0.0,ADD AS NEGATIVE
b0flpwrk28,58,4,66.25,0.0,0,,0.0,ADD AS NEGATIVE
b01mscrr8j,45,4,66.11,0.0,0,,0.0,ADD AS NEGATIVE
b0cycdzdz2,130,4,65.55,0.0,0,,0.0,ADD AS NEGATIVE
face scrubber for men,109,4,65.3,0.0,0,,0.0,ADD AS NEGATIVE
dr. rashel scrub,37,4,65.24,0.0,0,,0.0,ADD AS NEGATIVE
naturals face scrub,2,1,64.8,0.0,0,,0.0,ADD AS NEGATIVE
scrub face,55,2,63.55,0.0,0,,0.0,ADD AS NEGATIVE
walnuts scrub for women face,9,2,63.33,0.0,0,,0.0,ADD AS NEGATIVE
b09rh19zqy,796,4,63.17,0.0,0,,0.0,ADD AS NEGATIVE
b0dy161jjd,5,1,62.9,0.0,0,,0.0,ADD AS NEGATIVE
blackhead face scrub,7,2,62.07,0.0,0,,0.0,ADD AS NEGATIVE
organic face scrub,7,2,61.64,0.0,0,,0.0,ADD AS NEGATIVE
rose face scrub,4,1,59.97,0.0,0,,0.0,ADD AS NEGATIVE
mamaearth scrub,21,1,59.63,0.0,0,,0.0,ADD AS NEGATIVE
b0bhpc57xk,2,1,59.11,0.0,0,,0.0,ADD AS NEGATIVE
